LST_CELTTY,LST_JOBJ,LST_JLIB,LST_CCPLT,LST_CTYPE,LST_CATR,LST_JSRCF,LST_JXLIB,LST_NORD,LST_CSTS,LST_CTXT,LST_TDATE,LST_TTIME,LST_CAPP,LST_CENV,LST_CVER,LST_CLCL,LST_JDLIB,LST_JZSEL1,LST_JZSEL2,LST_JZSEL3,LST_JZSEL4,LST_NZSEL5,LST_NZSEL6,LST_CZSEL7,LST_CZSEL8,LST_CZSEL9,LST_CSST,LST_CFNC,LST_CSFN,LST_CIMPAT,LST_JFLD,LST_NQUAL,LST_CISDTC,LST_CALS,LST_CIOBJX,LST_CIOBJU,LST_CIDIRX,LST_CIDIRU,LST_CDIDIX,LST_CDIDIU,LST_NRRN,LST_CFLG1,LST_CFLG2,LST_CFLG3,LST_CFLG4,LST_TCRTT,LST_JCRTUS,LST_JCRTPG,LST_JCJNAM,LST_JCJUSR,LST_JCJNBR,LST_TUPDT,LST_JUPDUS,LST_JUPDPG,LST_JUJNAM,LST_JUJUSR,LST_JUJNBR,Unnamed: 58
M,ASASU02,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,Fichier des valeurs d'assurances soc.eta.div.ftv,1995-01-09,0,GRAMMEO,*NONE,*NONE,,,12,,,,0.0,0,,,,,,,,,0,0,,ASASU02,ASASU02,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:39.637,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.499,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,ASASU03,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,Fichier des valeurs d'assurances soc.eta.div.ftv,1995-01-09,0,GRAMMEO,*NONE,*NONE,,,12,,,,0.0,0,,,,,,,,,0,0,,ASASU03,ASASU03,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:40.030,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.501,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,ASLOT01,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,Ent/Cste/Nlot,1994-04-08,0,GRAMMEO,*NONE,*NONE,,,18,,,,0.0,0,,,,,,,,,0,0,,ASLOT01,ASLOT01,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:38.564,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.503,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,ASLOT02,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,Année,1994-04-21,0,GRAMMEO,*NONE,*NONE,,,15,,,,0.0,0,,,,,,,,,0,0,,ASLOT02,ASLOT02,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:38.658,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.504,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,ASLOT03,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,Cste/Année,1994-04-21,0,GRAMMEO,*NONE,*NONE,,,16,,,,0.0,0,,,,,,,,,0,0,,ASLOT03,ASLOT03,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:38.648,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.506,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,ASLOT04,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,Nlot/Année/Mois,1994-11-16,0,GRAMMEO,*NONE,*NONE,,,12,,,,0.0,0,,,,,,,,,0,0,,ASLOT04,ASLOT04,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:39.778,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.508,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,ASLOT05,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,Année/Mois/Cnet,1995-09-07,0,GRAMMEO,*NONE,*NONE,,,12,,,,0.0,0,,,,,,,,,0,0,,ASLOT05,ASLOT05,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:41.645,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.510,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,ATATR01,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,clgo/clit/typn/cari,1994-07-20,0,GRAMMEO,*NONE,*NONE,,,13,,,,0.0,0,,,,,,,,,0,0,,ATATR01,ATATR01,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:39.232,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.512,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AVARV01,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,csoc/ceta/cdiv/nomv/ctrs/narv,1993-02-17,0,GRAMMEO,*NONE,*NONE,,,15,,,,0.0,0,,,,,,,,,0,0,,AVARV01,AVARV01,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.561,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.513,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AVARV02,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,csoc/ceta/cdiv/nomv/ctrs/narv,1993-02-17,0,GRAMMEO,*NONE,*NONE,,,14,,,,0.0,0,,,,,,,,,0,0,,AVARV02,AVARV02,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.571,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.515,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
