LST_CELTTY,LST_JOBJ,LST_JLIB,LST_CCPLT,LST_CTYPE,LST_CATR,LST_JSRCF,LST_JXLIB,LST_NORD,LST_CSTS,LST_CTXT,LST_TDATE,LST_TTIME,LST_CAPP,LST_CENV,LST_CVER,LST_CLCL,LST_JDLIB,LST_JZSEL1,LST_JZSEL2,LST_JZSEL3,LST_JZSEL4,LST_NZSEL5,LST_NZSEL6,LST_CZSEL7,LST_CZSEL8,LST_CZSEL9,LST_CSST,LST_CFNC,LST_CSFN,LST_CIMPAT,LST_JFLD,LST_NQUAL,LST_CISDTC,LST_CALS,LST_CIOBJX,LST_CIOBJU,LST_CIDIRX,LST_CIDIRU,LST_CDIDIX,LST_CDIDIU,LST_NRRN,LST_CFLG1,LST_CFLG2,LST_CFLG3,LST_CFLG4,LST_TCRTT,LST_JCRTUS,LST_JCRTPG,LST_JCJNAM,LST_JCJUSR,LST_JCJNBR,LST_TUPDT,LST_JUPDUS,LST_JUPDPG,LST_JUJNAM,LST_JUJUSR,LST_JUJNBR,Unnamed: 58
O,BD99082_SV,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Save Mensuelle Valorisation du cours de route(val),2014-05-05,213715,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,BD99082_SV,BD99082_SV,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.209,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.818,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,BD9908_SV,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Save Mensuelle Valorisation des stocks,2014-05-05,213713,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,BD9908_SV,BD9908_SV,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.202,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.818,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,BD9910,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier de travail : état justif. des flux du mois,1994-01-21,110701,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,BD9910,BD9910,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.210,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.818,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,BD9912,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier justificatif cessions internes,1994-01-21,110704,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,BD9912,BD9912,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.211,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.818,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,CC1001,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier de travail : Edition des C.C.P. (SOL),1996-06-26,173210,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,CC1001,CC1001,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.233,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.823,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,CC1002,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier de travail : Suivi des CCP Céline 290695,1999-01-18,150745,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,CC1002,CC1002,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.238,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.823,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,CC1003,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier de travail : Etat CCP à  surveiller (ALN),1994-10-25,160820,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,CC1003,CC1003,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.244,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.823,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,CC1004,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier de travail : état des prévisions réalisati,2001-01-19,102233,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,CC1004,CC1004,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.248,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.824,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,CC1005,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier travail Edition des C.C.P.sans transport,1998-07-23,162603,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,CC1005,CC1005,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.256,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.824,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,CC1007,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Réalisations Mensuelles Tous Clients:Fichier de W,2000-06-20,115820,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,CC1007,CC1007,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.260,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.824,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
