type_name,description
*PF,Type ARCAD *PF
*PFTAB,Type ARCAD *PFTAB
*LFIDX,Type ARCAD *LFIDX
*LF,Type ARCAD *LF
*DSPF,Type ARCAD *DSPF
*PRTF,Type ARCAD *PRTF
*RPG,Type ARCAD *RPG
*SQLRPG,Type ARCAD *SQLRPG
*DTAARA,Type ARCAD *DTAARA
*DTAQ,Type ARCAD *DTAQ
*CMD,Type ARCAD *CMD
*MSGF,Type ARCAD *MSGF
*CLP,Type ARCAD *CLP
*SQLRPI,Type ARCAD *SQLRPI
*RPGLE,Type ARCAD *RPGLE
*CLLE,Type ARCAD *CLLE
*ILEPGM,Type ARCAD *ILEPGM
*SYSTRG,Type ARCAD *SYSTRG
*SQLTRG,Type ARCAD *SQLTRG
